State,2016 rate,2016 Rank,2018 rate,2018 Rank
United States,4.9,0.0,3.9,0.0
New Hampshire,2.9,1.0,2.5,1.0
Hawaii,3.0,2.0,2.5,1.0
South Dakota,3.0,2.0,2.6,3.0
Nebraska,3.1,4.0,2.6,3.0
North Dakota,3.1,4.0,2.6,3.0
Vermont,3.2,6.0,2.9,6.0
Colorado,3.3,7.0,2.9,6.0
Utah,3.4,8.0,2.9,6.0
Iowa,3.6,9.0,3.0,9.0
Idaho,3.8,10.0,3.0,9.0
Maine,3.8,10.0,3.0,9.0
Massachusetts,3.9,12.0,3.1,12.0
Minnesota,3.9,12.0,3.2,13.0
Arkansas,4.0,14.0,3.2,13.0
Kansas,4.0,14.0,3.2,13.0
Wisconsin,4.0,14.0,3.3,16.0
Montana,4.1,17.0,3.4,17.0
Virginia,4.1,17.0,3.4,17.0
Indiana,4.4,19.0,3.5,19.0
Delaware,4.5,20.0,3.5,19.0
Maryland,4.5,20.0,3.5,19.0
Missouri,4.6,22.0,3.6,22.0
Texas,4.6,22.0,3.6,22.0
Tennessee,4.7,24.0,3.6,22.0
Florida,4.8,25.0,3.8,25.0
Oklahoma,4.8,25.0,3.8,25.0
Oregon,4.8,25.0,3.9,27.0
New York,4.9,28.0,3.9,27.0
Michigan,5.0,29.0,3.9,27.0
New Jersey,5.0,29.0,3.9,27.0
Ohio,5.0,29.0,4.0,31.0
South Carolina,5.0,29.0,4.0,31.0
Connecticut,5.1,33.0,4.1,33.0
Kentucky,5.1,33.0,4.1,33.0
North Carolina,5.1,33.0,4.1,33.0
Rhode Island,5.2,36.0,4.1,33.0
Washington,5.3,37.0,4.1,33.0
Wyoming,5.3,37.0,4.2,38.0
Arizona,5.4,39.0,4.3,39.0
Georgia,5.4,39.0,4.3,39.0
Pennsylvania,5.4,39.0,4.3,39.0
California,5.5,42.0,4.4,42.0
Nevada,5.7,43.0,4.5,43.0
Alabama,5.8,44.0,4.5,43.0
Illinois,5.8,44.0,4.7,45.0
Mississippi,5.8,44.0,4.8,46.0
District of Columbia,6.1,47.0,4.9,47.0
Louisiana,6.1,47.0,4.9,47.0
West Virginia,6.1,47.0,5.2,49.0
New Mexico,6.6,50.0,5.7,50.0
Alaska,6.9,51.0,6.5,51.0
